Episode: 1, 	Avg rewards: -1.064 	total loss: 137.32748413085938
Episode: 2, 	Avg rewards: 0.568 	total loss: 172.87823486328125
Episode: 3, 	Avg rewards: -0.376 	total loss: 58.02600860595703
Episode: 4, 	Avg rewards: -0.064 	total loss: 46.802162170410156
Episode: 5, 	Avg rewards: -0.976 	total loss: 93.32925415039062
Episode: 6, 	Avg rewards: -0.392 	total loss: 56.76274871826172
Episode: 7, 	Avg rewards: -0.48 	total loss: 47.03763961791992
Episode: 8, 	Avg rewards: 0.344 	total loss: 57.562255859375
Episode: 9, 	Avg rewards: -0.16 	total loss: 56.234004974365234
Episode: 10, 	Avg rewards: -0.976 	total loss: 98.48597717285156
Episode: 11, 	Avg rewards: -0.232 	total loss: 39.166343688964844
Episode: 12, 	Avg rewards: -0.232 	total loss: 39.166343688964844
Episode: 13, 	Avg rewards: -0.232 	total loss: 39.166343688964844
Episode: 14, 	Avg rewards: -0.232 	total loss: 39.166343688964844
Episode: 15, 	Avg rewards: -0.232 	total loss: 39.166343688964844
Episode: 16, 	Avg rewards: -0.232 	total loss: 39.166343688964844
Episode: 17, 	Avg rewards: -0.232 	total loss: 39.166343688964844
Episode: 18, 	Avg rewards: -0.232 	total loss: 39.166343688964844
Episode: 19, 	Avg rewards: -0.232 	total loss: 39.166343688964844
Episode: 20, 	Avg rewards: -0.232 	total loss: 39.166343688964844
Episode: 21, 	Avg rewards: -0.232 	total loss: 39.166343688964844
Episode: 22, 	Avg rewards: -0.232 	total loss: 39.166343688964844
Episode: 23, 	Avg rewards: -0.232 	total loss: 39.166343688964844
Episode: 24, 	Avg rewards: -0.232 	total loss: 39.166343688964844
Episode: 25, 	Avg rewards: -0.232 	total loss: 39.166343688964844
